Seq_1	Seq_2	Ka	Ks	Ka_Ks	EffectiveLen	AverageS-sites	AverageN-sites	cN	cS	pN	pS	Note
Pno01G000599.t1	Pno01G004735.t1	0.34977775829721597	1.4234349906789527	0.24572794724568228	897.0	210.1666666666669	686.8333333333331	191.99999999999997	134.0	0.27954380004853197	0.6375892149088018	
Pno01G000636.t1	Pno01G004716.t1	0.05902957547017436	1.0647710052078392	0.055438751789312686	648.0	154.74999999999994	493.25	28.0	88.0	0.05676634566649772	0.5686591276252021	
Pno01G006165.t1	Pno01G002002.t1	0.2490249920290026	2.3996898739847397	0.10377382291299622	564.0	136.91666666666657	427.0833333333334	90.5	98.50000000000001	0.2119024390243902	0.7194157029823499	
Pno01G006238.t1	Pno01G001895.t1	0.2991692784647986	1.586405733481921	0.18858307944221006	1377.0	347.08333333333314	1029.916666666667	254.08333333333331	228.91666666666669	0.2467028076705234	0.6595438175270112	
Pno01G006400.t1	Pno01G001832.t2	0.11900728481544197	1.2743080588725009	0.09338972941969684	492.0	126.99999999999994	365.00000000000006	40.166666666666664	77.83333333333333	0.1100456621004566	0.6128608923884517	
Pno01G006416.t2	Pno01G001818.t1	0.5083335567972339	2.179824424534755	0.2331993123279774	741.0	177.8333333333334	563.1666666666666	207.91666666666666	126.08333333333333	0.3691920686593667	0.7089971883786313	
Pno01G006555.t1	Pno01G001725.t1	0.4276791316388695	2.45237750222569	0.1743936776661518	1167.0	259.41666666666714	907.5833333333328	295.83333333333337	187.16666666666666	0.3259572123771924	0.7214905236106636	
Pno01G006745.t1	Pno01G001684.t1	0.7391939473285138	2.5182489547364426	0.2935348969124767	1104.0	264.0833333333337	839.9166666666663	394.83333333333326	191.16666666666663	0.47008631808711193	0.7238876617229398	
Pno01G006864.t1	Pno01G001662.t1	0.0829965083431839	1.334655584959962	0.062185712387869484	2955.0	711.7500000000014	2243.2499999999986	176.25	443.75	0.07856904045469747	0.6234632946961702	
Pno01G005118.t1	Pno10G006388.t1	0.1017026569876735	1.268078420901333	0.08020218253961346	1155.0	267.4166666666671	887.5833333333329	84.41666666666667	163.58333333333334	0.09510844052201677	0.6117170458086623	
Pno01G005119.t1	Pno10G006537.t1	0.3135151272630972	1.3248187502021933	0.2366475619515867	1095.0	250.0833333333337	844.9166666666663	216.5	155.50000000000003	0.25623828779958585	0.6217927357547476	
Pno01G005144.t1	Pno10G006868.t1	0.3663199057117899	1.9927721790147621	0.18382427734057416	627.0	152.83333333333343	474.16666666666663	137.41666666666666	106.58333333333334	0.2898066783831283	0.6973827699018535	
Pno01G005148.t1	Pno10G006940.t1	0.30739096990071235	2.219523472037312	0.1384941289305477	918.0	195.0000000000003	722.9999999999998	182.33333333333334	138.66666666666663	0.2521899492853851	0.7111111111111098	
Pno01G005151.t1	Pno10G007002.t1	0.347755249829607	1.3928928368614804	0.24966403776846355	822.0	186.8333333333335	635.1666666666665	176.75	118.25	0.27827341905011815	0.6329170383586078	
Pno01G005159.t1	Pno10G007276.t1	0.5031340355369913	1.590114198272158	0.3164137746104678	1365.0	332.83333333333337	1032.1666666666665	378.33333333333337	219.66666666666669	0.3665428709833684	0.6599899849774662	
Pno01G005161.t1	Pno10G007281.t1	0.2517157855202107	1.7976484578799978	0.14002503349128897	894.0	215.50000000000017	678.4999999999998	145.08333333333331	146.91666666666669	0.21382952591500864	0.681747873163186	
Pno01G005169.t3	Pno10G007347.t1	0.3651197367959155	3.551177543261228	0.1028165256025491	828.0	192.91666666666697	635.083333333333	183.58333333333334	143.41666666666669	0.28906967589555194	0.7434125269978391	
Pno01G005192.t1	Pno10G007633.t1	0.36394674644053215	1.442550870121047	0.25229387328988456	558.0	119.58333333333321	438.4166666666668	126.41666666666667	76.58333333333333	0.28834822277133615	0.6404181184668996	
Pno01G005193.t1	Pno10G007672.t1	0.4103014289125001	2.2068712245844315	0.1859199686605015	2727.0	570.9999999999986	2156.0000000000014	681.3333333333333	405.66666666666674	0.3160173160173158	0.7104495037945144	
Pno01G005200.t1	Pno10G008061.t1	0.07165490267303701	NaN	NaN	1341.0	300.83333333333303	1040.166666666667	71.08333333333333	240.91666666666666	0.06833840730652137	0.8008310249307486	High Sequence Divergence Value (pS>=0.75)
Pno01G005225.t1	Pno10G008209.t1	0.7083334318667587	1.8563176304558318	0.3815798655604119	927.0	228.0833333333335	698.9166666666665	320.3333333333333	156.66666666666666	0.4583283653272923	0.686883449031786	
Pno01G005237.t1	Pno10G008317.t4	0.21932024663702354	1.3836156468963263	0.15851240706116204	2613.0	625.6666666666665	1987.3333333333335	377.91666666666663	395.0833333333334	0.19016269708151623	0.631459776238679	
Pno01G005239.t1	Pno10G008334.t2	0.3642703837416169	1.3648565797784686	0.2668927923553272	1284.0	313.33333333333314	970.6666666666669	280.0833333333333	196.91666666666669	0.28854739010989006	0.6284574468085111	
Pno01G008005.t1	Pno10G000139.t1	0.01433392888520786	NaN	NaN	915.0	210.66666666666686	704.3333333333331	10.0	159.0	0.014197823000473264	0.7547468354430373	High Sequence Divergence Value (pS>=0.75)
Pno01G008344.t1	Pno10G000214.t1	0.24493472272311895	1.8127227353729178	0.13511979407746014	702.0	158.83333333333326	543.1666666666667	113.5	108.5	0.20895980362074254	0.6831059811122774	
Pno01G008348.t1	Pno10G000215.t1	0.4568561375128565	1.3470179010108818	0.339161147873391	267.0	58.75000000000003	208.24999999999997	71.25	36.74999999999999	0.3421368547418968	0.6255319148936166	
Pno01G008359.t1	Pno10G000216.t1	0.2174533398702419	1.7745178224646652	0.1225422123786936	2367.0	530.0833333333322	1836.9166666666679	346.75	360.24999999999994	0.18876740915483362	0.6796101241943103	
Pno01G008551.t2	Pno10G000228.t1	0.14937770599441344	1.3369378013806101	0.11173123075744898	1197.0	280.25000000000034	916.7499999999997	124.16666666666666	174.83333333333334	0.135442232524316	0.6238477549806712	
Pno01G009078.t3	Pno10G000324.t1	0.5234330359319845	1.7848754589960034	0.2932602570637712	1050.0	231.66666666666697	818.333333333333	308.33333333333337	157.66666666666669	0.37678207739307557	0.6805755395683445	
Pno01G009213.t1	Pno10G000387.t1	0.22232332612267883	1.3981003784570165	0.15901814315224003	642.0	155.16666666666663	486.83333333333337	93.66666666666666	98.33333333333334	0.19239986306059564	0.6337271750805588	
Pno01G009274.t2	Pno10G000448.t1	0.22772671753987822	1.2521726543297838	0.18186526973931344	1878.0	441.7499999999987	1436.2500000000014	282.0833333333333	268.91666666666663	0.19640266898752518	0.608753065459349	
Pno01G009358.t1	Pno10G000458.t1	0.17952976836089188	1.7826995472139895	0.10070668870784298	765.0	178.3333333333334	586.6666666666665	93.66666666666667	121.33333333333333	0.15965909090909094	0.6803738317757007	
Pno01G009517.t1	Pno10G000605.t2	0.3839334821436602	1.5084213993425577	0.2545266742509731	858.0	192.41666666666688	665.583333333333	200.00000000000003	125.00000000000001	0.30048829347690015	0.6496318752706793	
Pno01G009535.t1	Pno10G000606.t1	0.41423790081438827	1.489436612751751	0.2781171734788223	825.0	189.83333333333366	635.1666666666663	202.16666666666666	122.83333333333333	0.3182891629493573	0.6470588235294107	
Pno01G009604.t2	Pno10G000629.t3	0.17556649531839527	1.0609759503283034	0.1654764137340425	882.0	196.83333333333357	685.1666666666665	107.24999999999999	111.75000000000001	0.1565312576015568	0.5677392040643516	
Pno01G009789.t1	Pno10G000646.t1	0.1875407606017611	1.48512005407379	0.1262798654474589	1122.0	272.2500000000002	849.7499999999998	141.0	176.0	0.1659311562224184	0.646464646464646	
Pno01G010033.t1	Pno10G000726.t1	0.33226128791980275	NaN	NaN	975.0	217.5000000000004	757.4999999999995	203.33333333333334	171.66666666666666	0.2684268426842686	0.7892720306513396	High Sequence Divergence Value (pS>=0.75)
Pno01G004610.t1	Pno10G000844.t1	0.20719323440423243	1.7772186291450822	0.11658286212310366	762.0	170.5000000000001	591.4999999999999	107.08333333333333	115.91666666666667	0.1810369118061426	0.6798631476050827	
Pno01G004628.t1	Pno10G000872.t1	0.16328101127855282	1.3633930673831869	0.11976077565946876	2103.0	501.4166666666654	1601.5833333333346	234.99999999999997	315.0	0.14672979863676555	0.6282200432109041	
Pno01G004634.t1	Pno10G000883.t1	0.4098927262608052	NaN	NaN	663.0	159.75	503.25	158.91666666666669	130.08333333333331	0.3157807584037093	0.8142931664058424	High Sequence Divergence Value (pS>=0.75)
Pno01G004644.t1	Pno10G000924.t1	0.6189125217934268	1.9646658850017578	0.3150217685959733	1851.0	416.08333333333246	1434.9166666666674	604.6666666666667	289.33333333333337	0.421394970671932	0.6953735229321065	
Pno01G004648.t1	Pno10G000928.t1	0.2620386008289054	1.422061576555094	0.18426670486638624	210.0	44.58333333333334	165.41666666666666	36.583333333333336	28.416666666666664	0.22115869017632245	0.6373831775700932	
Pno01G004649.t1	Pno10G000929.t1	0.34076329672944583	1.1273826760822654	0.30226054023964816	1191.0	277.5000000000002	913.4999999999998	250.16666666666666	161.83333333333331	0.2738551359241015	0.5831831831831826	
Pno01G004660.t1	Pno10G000971.t1	0.36379928502271175	1.604917916589729	0.22667781402537054	645.0	158.16666666666663	486.83333333333337	140.33333333333334	104.66666666666667	0.28825744608010956	0.6617492096944153	
Pno01G004676.t1	Pno10G000988.t1	0.37525041318125396	2.1148156430116574	0.17743882991468182	384.0	82.0	302.0	89.16666666666666	57.83333333333333	0.2952538631346578	0.7052845528455284	
Pno01G004700.t1	Pno10G001083.t1	0.19874408834714594	2.3957755543796178	0.08295605487076205	429.0	102.99999999999991	326.0000000000001	56.91666666666667	74.08333333333334	0.17459100204498973	0.7192556634304214	
Pno01G004729.t1	Pno10G001161.t1	0.41697275304489523	1.5144186585288164	0.27533519261441475	690.0	164.25	525.75	168.16666666666669	106.83333333333334	0.319860516722143	0.6504312531709793	
Pno01G006457.t1	Pno10G013939.t1	0.6314680453169145	NaN	NaN	432.0	93.08333333333329	338.91666666666674	144.66666666666669	72.33333333333334	0.4268502581755593	0.7770814682184427	High Sequence Divergence Value (pS>=0.75)
Pno01G006753.t1	Pno10G014177.t1	0.09414324573277635	1.1160577915723762	0.08435337886951276	357.0	80.08333333333329	276.91666666666674	24.5	46.5	0.08847427023773696	0.580645161290323	
Pno01G006792.t4	Pno10G014201.t1	0.544279612350596	1.4691101654184187	0.370482503737614	489.0	103.99999999999994	385.00000000000006	149.0	67.0	0.387012987012987	0.6442307692307696	
Pno01G006804.t1	Pno10G014260.t1	0.1641002887225072	1.262103102375672	0.13002130207399004	1092.0	259.166666666667	832.833333333333	122.75	158.25	0.14738843305983595	0.6106109324758834	
Pno01G006890.t1	Pno10G014279.t1	0.1154218372871711	1.731016405153626	0.06667865015232338	1560.0	343.2499999999995	1216.7500000000005	130.16666666666666	231.83333333333331	0.10697897404287372	0.6754066521000253	
Pno01G006986.t1	Pno10G014329.t1	0.4202571163505995	1.3250056848218437	0.3171738213388164	1026.0	232.91666666666725	793.0833333333327	255.16666666666669	144.83333333333334	0.3217400441315543	0.6218246869409645	
Pno01G007239.t1	Pno10G000065.t1	0.1912398255207316	1.4492011363925374	0.13196223817266692	1221.0	279.0833333333336	941.9166666666664	158.99999999999997	179.00000000000003	0.16880474210386626	0.641385488205434	
Pno01G007453.t1	Pno10G000090.t1	0.24428479856822188	1.7652776601922904	0.13838321533033626	1089.0	250.83333333333377	838.1666666666663	174.75	170.25000000000003	0.20849075362895217	0.6787375415282382	
Pno01G007480.t1	Pno10G000091.t1	0.6011309381890455	1.8455016859261093	0.32572765593946673	360.0	84.91666666666663	275.08333333333337	113.74999999999999	58.25	0.41351105725537707	0.685966633954858	
Pno01G004713.t1	Pno10G001195.t1	0.16512190264394047	1.925097571787831	0.0857732642042618	1371.0	301.00000000000006	1070.0	158.58333333333334	208.41666666666666	0.14820872274143304	0.6924141749723144	
Pno01G004742.t1	Pno10G001233.t3	0.27234133504001734	1.1042499137150816	0.2466301619384023	1131.0	288.0833333333335	842.9166666666665	192.49999999999997	166.50000000000003	0.22837370242214533	0.5779577668498697	
Pno01G004765.t1	Pno10G001249.t1	0.21090343031558612	1.284985463131135	0.16412903987386435	528.0	120.49999999999989	407.5000000000001	74.91666666666667	74.08333333333334	0.18384458077709606	0.6147994467496549	
Pno01G004777.t1	Pno10G001285.t1	0.3888360239039488	NaN	NaN	1293.0	280.91666666666697	1012.083333333333	307.0833333333333	224.91666666666669	0.3034170440510499	0.800652625333728	High Sequence Divergence Value (pS>=0.75)
Pno01G004779.t1	Pno10G001291.t1	0.24431597567651508	1.6226528860144094	0.15056576658031195	348.0	77.83333333333331	270.1666666666667	56.33333333333333	51.666666666666664	0.2085132634176434	0.663811563169165	
Pno01G004799.t1	Pno10G001323.t1	0.16475527863790038	1.7727734564176028	0.0929364539171495	948.0	234.75000000000034	713.2499999999998	105.50000000000001	159.50000000000003	0.14791447599018584	0.6794462193823207	
Pno01G004811.t2	Pno10G001339.t1	0.3522035807071892	2.2711949351219842	0.15507413091702435	2913.0	670.9166666666681	2242.083333333332	630.1666666666669	478.8333333333333	0.28106299944248303	0.7137001614706232	
Pno01G004841.t1	Pno10G001380.t1	0.2736500052170202	1.0834869068591129	0.25256420126967283	690.0	168.0833333333334	521.9166666666666	119.66666666666666	96.33333333333334	0.22928309117036563	0.5731284085275159	
Pno01G005272.t1	Pno10G008956.t1	0.22880558891958966	1.7891403997085187	0.1278857651176319	1401.0	330.1666666666663	1070.8333333333337	211.16666666666666	224.83333333333334	0.19719844357976646	0.6809692074709751	
Pno01G005275.t1	Pno10G008981.t1	0.05470843354232186	1.3298005021619286	0.041140331540993856	540.0	132.49999999999994	407.50000000000006	21.5	82.5	0.05276073619631901	0.6226415094339626	
Pno01G005279.t1	Pno10G009077.t3	0.25826603887113714	1.9415762601943267	0.13301874573048603	393.0	80.25000000000003	312.75	68.33333333333334	55.666666666666664	0.21849187316813218	0.6936656282450672	
Pno01G005289.t1	Pno10G009111.t2	0.4925005574327135	1.4056793767988762	0.35036478841588653	480.0	108.41666666666657	371.5833333333334	134.16666666666666	68.83333333333331	0.36106750392464665	0.6348962336664108	
Pno01G005297.t1	Pno10G009339.t1	0.8505472704979651	1.8029105659060594	0.47176342885900135	561.0	130.3333333333333	430.6666666666667	219.08333333333331	88.91666666666667	0.5087074303405572	0.6822250639386193	
Pno01G005300.t1	Pno10G009355.t1	0.5191044042110109	1.9445679929112756	0.2669510174513584	606.0	137.75	468.25	175.41666666666669	95.58333333333334	0.37462181882897316	0.6938898971566849	
Pno01G000839.t1	Pno10G000960.t1	0.4664580570741399	1.2614500608541923	0.36977924972969384	546.0	119.16666666666659	426.8333333333334	148.24999999999997	72.74999999999999	0.34732526356891824	0.6104895104895108	
Pno01G000910.t1	Pno10G000924.t1	0.5864419572760651	3.0744259106371636	0.19074844355397952	1146.0	256.2500000000004	889.7499999999995	362.00000000000006	189.00000000000006	0.4068558583871877	0.7375609756097552	
Pno01G000951.t1	Pno10G000923.t1	0.2098978086866125	1.725152679344274	0.12166912018847753	5124.0	1165.0000000000045	3958.9999999999955	724.8333333333334	786.1666666666665	0.18308495411299172	0.6748211731044321	
Pno01G000963.t1	Pno10G000898.t1	0.05709988035175508	1.281173328862256	0.04456842728880607	3411.0	794.9166666666694	2616.0833333333303	143.83333333333334	488.1666666666667	0.054980409645462434	0.6141104937624469	
Pno01G001003.t1	Pno10G000883.t1	0.3244266060184514	1.628319327794526	0.19924016160753333	681.0	163.66666666666674	517.3333333333333	136.25	108.75000000000001	0.2633698453608248	0.6644602851323826	
Pno01G001011.t1	Pno10G000881.t1	0.5210855207207076	1.4896740860380007	0.34979833884780015	1356.0	300.83333333333314	1055.1666666666667	396.33333333333326	194.66666666666663	0.37561206760385396	0.6470914127423826	
Pno01G001070.t1	Pno10G000838.t1	0.3332242165155106	1.8532247134754973	0.1798077772719689	891.0	201.83333333333348	689.1666666666665	185.41666666666666	138.58333333333334	0.2690447400241838	0.6866226259289838	
Pno01G001146.t1	Pno10G000729.t1	0.013222332715210033	0.13336695103409235	0.09914249829277444	1908.0	458.33333333333155	1449.6666666666683	19.0	56.0	0.01310646125546101	0.12218181818181865	
Pno01G001150.t1	Pno10G000656.t1	0.15994409406125093	1.16705276913767	0.1370495818963121	855.0	200.66666666666683	654.3333333333331	94.25	118.75	0.1440397350993378	0.5917774086378733	
Pno01G001213.t1	Pno10G000568.t1	0.13826655695506654	1.2460762326075359	0.11096155543046536	1734.0	396.91666666666583	1337.0833333333342	168.83333333333331	241.16666666666669	0.12626986600186965	0.6076002519420547	
Pno01G001358.t1	Pno10G000387.t1	0.25407182912457116	1.9945996509348523	0.12737986242276228	630.0	153.99999999999994	476.0	102.58333333333333	107.41666666666666	0.2155112044817927	0.6975108225108227	
Pno01G001438.t1	Pno10G000244.t1	0.4585670197630243	NaN	NaN	1524.0	328.1666666666664	1195.8333333333335	410.24999999999994	246.74999999999997	0.34306620209059224	0.7519045200609452	High Sequence Divergence Value (pS>=0.75)
Pno01G001447.t1	Pno10G000238.t1	0.3855373285480849	1.4064812000719948	0.27411481115307484	1254.0	281.75000000000006	972.25	293.08333333333337	178.91666666666669	0.30144853004199884	0.6350192250813368	
Pno01G001520.t1	Pno10G000214.t1	0.27839245062018714	1.2535837576562057	0.22207726362113256	696.0	157.08333333333326	538.9166666666667	125.33333333333334	95.66666666666666	0.2325653316839338	0.6090185676392575	
Pno01G001562.t1	Pno10G000139.t1	0.7136568178117165	NaN	NaN	672.0	152.33333333333334	519.6666666666666	239.24999999999997	123.74999999999999	0.46039127645926875	0.8123632385120348	High Sequence Divergence Value (pS>=0.75)
Pno01G001608.t1	Pno10G000113.t1	0.18486493605782184	1.763662894980579	0.1048187477232476	2040.0	475.49999999999875	1564.5000000000014	256.3333333333333	322.6666666666667	0.16384361350804288	0.6785839467227498	
Pno01G001660.t2	Pno10G000042.t1	0.24676991371498952	1.8168533841354133	0.1358226898602608	1536.0	386.74999999999966	1149.2500000000005	241.66666666666669	264.33333333333337	0.21028206801537228	0.683473389355743	
Pno01G001677.t1	Pno10G014243.t1	0.48445284676185496	1.9395377748303126	0.24977747432851058	294.0	74.5	219.5	78.33333333333334	51.666666666666664	0.35687167805618836	0.6935123042505592	
Pno01G001721.t2	Pno10G014090.t1	0.4307857617684685	1.8692626068754972	0.23045759337610347	645.0	146.08333333333331	498.91666666666674	163.50000000000003	100.50000000000001	0.32771003841656926	0.687963491158015	
Pno01G001738.t1	Pno10G013985.t1	0.3896570458182691	1.891473101850142	0.20600718320399405	1266.0	290.91666666666686	975.0833333333331	296.3333333333333	200.66666666666666	0.30390564908982143	0.6897737038097962	
Pno01G002303.t1	Pno10G005631.t1	0.36595035881488264	1.3102742790355855	0.2792929424549468	939.0	236.83333333333354	702.1666666666665	203.33333333333331	146.66666666666669	0.28957987182530265	0.6192821956368749	
Pno01G002351.t1	Pno10G005585.t1	0.23894378229905133	1.6667821939240657	0.14335633244108018	1416.0	308.6666666666664	1107.3333333333335	226.58333333333334	206.41666666666669	0.20462071041541238	0.6687365010799142	
Pno01G002477.t1	Pno10G005437.t1	0.018966876259965137	0.07359027873523934	0.2577361655090822	1848.0	455.333333333332	1392.6666666666679	26.083333333333336	31.916666666666668	0.018729056965055037	0.07009516837481719	
Pno01G002510.t1	Pno10G005016.t1	0.3845098986486165	1.8228729593489699	0.2109362019314513	294.0	64.08333333333337	229.91666666666663	69.16666666666667	43.833333333333336	0.30083363537513597	0.6840052015604677	
Pno01G002512.t1	Pno10G004987.t1	0.17667531667285002	1.4599610040917765	0.12101372309102018	1674.0	394.41666666666595	1279.583333333334	201.41666666666666	253.58333333333334	0.15740801042005853	0.6429326008873877	
Pno01G002518.t1	Pno10G004966.t1	0.2921152157516043	1.742583086732123	0.1676334505802015	1722.0	410.416666666666	1311.583333333334	317.3333333333333	277.6666666666667	0.24194675646483246	0.676548223350255	
Pno01G002571.t1	Pno10G004619.t2	0.21275426952457352	1.4927475441848208	0.1425252852388762	513.0	118.91666666666657	394.0833333333334	73.00000000000001	77.0	0.18524000845844787	0.6475122634898394	
Pno01G000152.t2	Pno10G001405.t1	0.24939935344554015	1.3248915700745856	0.18824133165214424	1989.0	466.249999999999	1522.750000000001	323.0833333333333	289.9166666666667	0.21217096262244828	0.6218051831992865	
Pno01G000227.t1	Pno10G001361.t1	0.2243156662850394	1.339267863812146	0.1674912632089433	687.0	150.5833333333333	536.4166666666667	104.0	94.00000000000001	0.1938791362435917	0.624239070282236	
Pno01G000310.t1	Pno10G001291.t1	0.0728467685703658	0.13052737894488597	0.5580956973105596	1575.0	350.58333333333286	1224.4166666666672	85.0	42.0	0.06942081263186549	0.11980033277870232	
Pno01G000335.t1	Pno10G001280.t1	0.769414175933395	2.536439166621089	0.3033442260546576	1059.0	252.5833333333337	806.4166666666663	387.99999999999994	182.99999999999997	0.48114084943680907	0.7245133619267556	
Pno01G000476.t2	Pno10G001277.t1	0.06561229706313368	1.3704330383651904	0.04787705435166942	1140.0	272.5000000000001	867.4999999999998	54.5	171.5	0.06282420749279541	0.6293577981651374	
Pno01G000490.t1	Pno10G001251.t3	0.5408011446515225	1.1895291093266815	0.45463464526533226	1785.0	412.999999999999	1372.000000000001	528.6666666666667	246.33333333333334	0.38532555879494634	0.5964487489911233	
Pno01G000501.t1	Pno10G001243.t2	0.35913550413884376	1.0182144676240081	0.35271105995663404	1746.0	403.91666666666606	1342.083333333334	383.0	225.0	0.28537721204594835	0.557045595213535	
Pno01G010107.t1	Pno12G003008.t1	0.17949417613613905	1.4146183981128164	0.1268852266983059	924.0	219.25000000000028	704.7499999999998	112.50000000000001	139.5	0.1596310748492374	0.6362599771949821	
Pno01G010259.t1	Pno12G002715.t1	0.19467836187155269	1.1827904864609995	0.16459243128852463	1518.0	351.08333333333314	1166.916666666667	200.08333333333334	208.91666666666666	0.17146325787331282	0.5950629005459296	
Pno01G010308.t1	Pno12G002515.t2	0.25699307197411886	1.432685233739773	0.17937860035262848	819.0	177.50000000000017	641.4999999999999	139.58333333333331	113.41666666666669	0.21758898415172773	0.6389671361502343	
Pno01G010324.t3	Pno12G002431.t1	0.3363429736844698	1.2523208187500112	0.26857572648212175	1521.0	339.7499999999996	1181.2500000000005	320.1666666666667	206.8333333333333	0.2710405643738976	0.608780966396861	
Pno01G010645.t1	Pno12G002303.t1	0.5813119490526023	3.348031834853697	0.1736279634503549	771.0	178.50000000000009	592.4999999999999	239.6666666666667	132.33333333333334	0.40450070323488063	0.7413632119514469	
Pno01G011150.t1	Pno12G002271.t1	0.14295332515884346	1.0645645299261508	0.13428338173991217	1965.0	447.5833333333321	1517.4166666666679	197.50000000000003	254.49999999999997	0.13015541765061225	0.5686091975423586	
Pno01G011295.t1	Pno12G002221.t1	0.08064498746744847	1.859442057849329	0.04337052995387456	3624.0	838.2500000000034	2785.7499999999964	213.00000000000003	576.0	0.07646055819797193	0.6871458395466719	
Pno01G011610.t1	Pno12G001686.t1	0.0055172662601886205	0.7461787359344332	0.007394027723504336	495.0	131.16666666666663	363.83333333333337	2.0	62.0	0.005497022446174988	0.47268106734434573	
Pno01G012276.t1	Pno12G001633.t1	0.25222653961672464	1.402735485544676	0.1798104790361001	429.0	102.58333333333329	326.41666666666674	69.91666666666666	65.08333333333334	0.2141945366351799	0.6344435418359061	
Pno01G012392.t1	Pno12G001584.t1	0.13429638962182797	1.019195992069402	0.13176699149802296	309.0	69.08333333333334	239.91666666666663	29.5	38.5	0.12295936088919766	0.55729794933655	
Pno01G012676.t1	Pno12G001448.t1	0.5063419532361795	1.3866142686599958	0.36516424551544613	426.0	99.16666666666666	326.83333333333337	120.33333333333333	62.666666666666664	0.36817950025497187	0.6319327731092438	
Pno01G012967.t1	Pno12G001301.t1	0.09901489450497741	0.8301067919042172	0.1192797065035969	516.0	122.49999999999991	393.5000000000001	36.5	61.5	0.09275730622617533	0.502040816326531	
Pno01G004281.t1	Pno12G004831.t1	0.18346696152556038	1.712049509288112	0.10716218224427858	1413.0	317.24999999999966	1095.7500000000005	178.33333333333331	213.66666666666669	0.1627500190128526	0.6734961912266885	
Pno01G004288.t1	Pno12G004630.t1	0.26375785383405004	1.0930198291566104	0.24131113342890526	492.0	115.0	377.0	83.83333333333333	66.16666666666666	0.22236958443854996	0.5753623188405796	
Pno01G004302.t1	Pno12G004529.t1	0.5471840955191852	1.4896960834341624	0.36731256905621595	588.0	137.6666666666666	450.33333333333337	174.91666666666669	89.08333333333333	0.3884159881569208	0.6470944309927363	
Pno01G004312.t1	Pno12G004390.t1	0.41141122567520455	3.305039435448121	0.12447997481138148	945.0	218.66666666666688	726.3333333333331	229.99999999999997	162.0	0.31665901789811846	0.7408536585365846	
Pno01G004318.t1	Pno12G004385.t1	0.427418758792982	1.2094603339059853	0.35339626014242354	897.0	210.25000000000023	686.7499999999998	223.74999999999997	126.24999999999999	0.3258099745176557	0.6004756242568364	
Pno01G004340.t1	Pno12G004366.t1	0.22508819732704496	1.1130207873512368	0.2022318000571302	1239.0	277.75000000000034	961.2499999999997	186.91666666666666	161.08333333333331	0.1944516688339836	0.5799579957995792	
Pno01G004372.t1	Pno12G004256.t1	0.4727029489068022	2.023973234389274	0.23355197631822364	939.0	211.33333333333366	727.6666666666663	255.16666666666669	147.83333333333334	0.3506642235455797	0.6995268138801252	
