Pno01G005483.t1	Pno01G005033.t2
Pno01G004700.t1	Pno10G001083.t1
Pno01G004729.t1	Pno10G001161.t1
Pno01G006457.t1	Pno10G013939.t1
Pno01G006753.t1	Pno10G014177.t1
Pno01G006792.t4	Pno10G014201.t1
Pno01G006804.t1	Pno10G014260.t1
Pno01G006890.t1	Pno10G014279.t1
Pno01G006986.t1	Pno10G014329.t1
Pno01G007239.t1	Pno10G000065.t1
Pno01G007453.t1	Pno10G000090.t1
Pno01G007480.t1	Pno10G000091.t1
Pno01G004713.t1	Pno10G001195.t1
Pno01G004742.t1	Pno10G001233.t3
Pno01G004765.t1	Pno10G001249.t1
Pno01G004777.t1	Pno10G001285.t1
Pno01G004779.t1	Pno10G001291.t1
Pno01G004799.t1	Pno10G001323.t1
Pno01G004811.t2	Pno10G001339.t1
Pno01G004841.t1	Pno10G001380.t1
Pno01G005272.t1	Pno10G008956.t1
Pno01G005275.t1	Pno10G008981.t1
Pno01G005279.t1	Pno10G009077.t3
Pno01G005289.t1	Pno10G009111.t2
Pno01G005297.t1	Pno10G009339.t1
Pno01G005300.t1	Pno10G009355.t1
Pno01G000839.t1	Pno10G000960.t1
Pno01G000910.t1	Pno10G000924.t1
Pno01G000951.t1	Pno10G000923.t1
Pno01G000963.t1	Pno10G000898.t1
Pno01G001003.t1	Pno10G000883.t1
Pno01G001011.t1	Pno10G000881.t1
Pno01G001070.t1	Pno10G000838.t1
Pno01G001146.t1	Pno10G000729.t1
Pno01G001150.t1	Pno10G000656.t1
Pno01G001213.t1	Pno10G000568.t1
Pno01G001358.t1	Pno10G000387.t1
Pno01G001438.t1	Pno10G000244.t1
Pno01G001447.t1	Pno10G000238.t1
Pno01G001520.t1	Pno10G000214.t1
Pno01G001562.t1	Pno10G000139.t1
Pno01G001608.t1	Pno10G000113.t1
Pno01G001660.t2	Pno10G000042.t1
Pno01G001677.t1	Pno10G014243.t1
Pno01G001721.t2	Pno10G014090.t1
Pno01G001738.t1	Pno10G013985.t1
Pno01G002303.t1	Pno10G005631.t1
Pno01G002351.t1	Pno10G005585.t1
Pno01G002477.t1	Pno10G005437.t1
Pno01G002510.t1	Pno10G005016.t1
Pno01G002512.t1	Pno10G004987.t1
Pno01G002518.t1	Pno10G004966.t1
Pno01G002571.t1	Pno10G004619.t2
Pno01G000152.t2	Pno10G001405.t1
Pno01G000227.t1	Pno10G001361.t1
Pno01G000310.t1	Pno10G001291.t1
Pno01G000335.t1	Pno10G001280.t1
Pno01G000476.t2	Pno10G001277.t1
Pno01G000490.t1	Pno10G001251.t3
Pno01G000501.t1	Pno10G001243.t2
Pno01G010107.t1	Pno12G003008.t1
Pno01G010259.t1	Pno12G002715.t1
Pno01G010308.t1	Pno12G002515.t2
Pno01G010324.t3	Pno12G002431.t1
Pno01G010645.t1	Pno12G002303.t1
Pno01G011150.t1	Pno12G002271.t1
Pno01G011295.t1	Pno12G002221.t1
Pno01G011610.t1	Pno12G001686.t1
Pno01G012276.t1	Pno12G001633.t1
Pno01G012392.t1	Pno12G001584.t1
Pno01G012676.t1	Pno12G001448.t1
Pno01G012967.t1	Pno12G001301.t1
Pno01G004281.t1	Pno12G004831.t1
Pno01G004288.t1	Pno12G004630.t1
Pno01G004302.t1	Pno12G004529.t1
Pno01G004312.t1	Pno12G004390.t1
Pno01G004318.t1	Pno12G004385.t1
Pno01G004340.t1	Pno12G004366.t1
Pno01G004372.t1	Pno12G004256.t1
Pno01G004423.t1	Pno12G003830.t1
Pno01G004438.t1	Pno12G003693.t1
Pno01G004443.t1	Pno12G003603.t1
Pno01G012967.t1	Pno12G000130.t1
Pno01G013261.t2	Pno12G011767.t1
Pno01G013444.t1	Pno12G010740.t2
Pno01G013888.t1	Pno12G006219.t1
Pno01G013962.t1	Pno12G004140.t1
Pno01G014029.t1	Pno12G004035.t1
Pno01G014395.t1	Pno12G003116.t1
Pno01G003869.t1	Pno02G005210.t1
Pno01G003955.t1	Pno02G005282.t1
Pno01G003963.t1	Pno02G005292.t1
Pno01G003998.t1	Pno02G005317.t1
Pno01G004030.t1	Pno02G005335.t1
Pno01G004073.t1	Pno02G005348.t1
Pno01G004110.t1	Pno02G005359.t1
Pno01G004128.t1	Pno02G005372.t2
Pno01G004130.t1	Pno02G005373.t2
Pno01G004136.t1	Pno02G005378.t1
Pno01G004178.t1	Pno02G005412.t1
Pno01G004215.t1	Pno02G005420.t1
Pno01G004227.t1	Pno02G005452.t1
Pno01G010640.t1	Pno02G003114.t1
Pno01G010773.t1	Pno02G003146.t1
Pno01G010856.t1	Pno02G003149.t1
Pno01G011055.t1	Pno02G003157.t1
Pno01G011143.t1	Pno02G003166.t1
Pno01G011503.t1	Pno02G003295.t1
Pno01G011529.t1	Pno02G003304.t1
Pno01G011610.t1	Pno02G003305.t1
Pno01G011792.t1	Pno02G003337.t1
Pno01G012051.t2	Pno02G003361.t1
Pno01G015289.t1	Pno02G006940.t1
Pno01G015373.t1	Pno02G006962.t1
Pno01G015450.t1	Pno02G006965.t1
Pno01G015468.t1	Pno02G006983.t1
Pno01G015529.t1	Pno02G007003.t1
Pno01G015759.t1	Pno02G007032.t2
Pno01G015815.t1	Pno02G007033.t1
Pno01G015943.t1	Pno02G007039.t1
Pno01G016090.t4	Pno02G007060.t2
Pno01G004321.t1	Pno02G005535.t1
Pno01G004387.t1	Pno02G005571.t1
Pno01G004397.t1	Pno02G005599.t1
Pno01G004443.t1	Pno02G005620.t1
Pno01G004465.t2	Pno02G005660.t1
Pno01G004466.t1	Pno02G005662.t1
Pno01G004468.t1	Pno02G005671.t1
Pno01G004470.t2	Pno02G005674.t2
Pno01G004488.t1	Pno02G005684.t1
Pno01G003088.t2	Pno02G004802.t2
Pno01G003335.t1	Pno02G004896.t1
Pno01G003471.t1	Pno02G004944.t1
Pno01G003534.t1	Pno02G005003.t2
Pno01G003573.t1	Pno02G005009.t1
Pno01G003599.t1	Pno02G005017.t1
Pno01G003609.t1	Pno02G005023.t1
Pno01G005455.t1	Pno02G014907.t1
Pno01G005468.t1	Pno02G014227.t1
Pno01G005473.t1	Pno02G014214.t1
Pno01G005491.t1	Pno02G014118.t2
Pno01G005533.t1	Pno02G013787.t1
Pno01G005553.t2	Pno02G013560.t1
Pno01G005573.t1	Pno02G013525.t2
Pno01G006753.t1	Pno03G004086.t2
Pno01G006792.t4	Pno03G004094.t1
Pno01G006804.t1	Pno03G004112.t1
Pno01G006890.t1	Pno03G004123.t1
Pno01G006985.t1	Pno03G004128.t1
Pno01G007148.t3	Pno03G004147.t6
Pno01G007239.t1	Pno03G004149.t1
Pno01G007605.t1	Pno03G004174.t2
Pno01G007946.t1	Pno03G004190.t1
Pno01G007961.t2	Pno03G004193.t1
Pno01G007965.t1	Pno03G004197.t1
Pno01G008034.t1	Pno03G004228.t1
Pno01G008344.t1	Pno03G004249.t1
Pno01G008359.t1	Pno03G004272.t1
Pno01G008551.t2	Pno03G004280.t1
Pno01G009078.t3	Pno03G004323.t1
Pno01G009102.t1	Pno03G004324.t1
Pno01G009159.t1	Pno03G004338.t2
Pno01G009274.t2	Pno03G004371.t1
Pno01G009358.t1	Pno03G004378.t1
Pno01G009517.t1	Pno03G004400.t1
Pno01G009535.t1	Pno03G004401.t1
Pno01G009589.t1	Pno03G004402.t1
Pno01G004649.t1	Pno03G004508.t2
Pno01G004660.t1	Pno03G004519.t1
Pno01G004676.t1	Pno03G004547.t1
Pno01G004686.t1	Pno03G004560.t1
Pno01G004700.t1	Pno03G004563.t1
Pno01G004716.t1	Pno03G004605.t1
Pno01G004732.t1	Pno03G004620.t1
Pno01G004735.t1	Pno03G004627.t1
Pno01G004742.t1	Pno03G004655.t1
Pno01G004765.t1	Pno03G004682.t1
Pno01G004771.t1	Pno03G004716.t1
Pno01G004777.t1	Pno03G004764.t1
Pno01G004779.t1	Pno03G004766.t1
Pno01G004799.t1	Pno03G004776.t1
Pno01G004800.t1	Pno03G004777.t2
Pno01G004811.t2	Pno03G004782.t1
Pno01G004841.t1	Pno03G004815.t1
Pno01G002450.t1	Pno03G005097.t1
Pno01G002510.t1	Pno03G005104.t1
Pno01G002512.t1	Pno03G005107.t1
Pno01G002521.t1	Pno03G005108.t1
Pno01G002571.t1	Pno03G005155.t1
Pno01G002605.t1	Pno03G005191.t1
Pno01G002678.t2	Pno03G005197.t1
Pno01G002816.t2	Pno03G005206.t1
Pno01G000227.t1	Pno03G004789.t1
Pno01G000380.t1	Pno03G004783.t1
Pno01G000387.t1	Pno03G004775.t1
Pno01G000454.t2	Pno03G004757.t1
Pno01G000476.t2	Pno03G004729.t1
Pno01G000490.t1	Pno03G004704.t1
Pno01G000524.t2	Pno03G004685.t4
Pno01G000527.t2	Pno03G004682.t1
Pno01G000553.t1	Pno03G004661.t1
Pno01G000599.t1	Pno03G004627.t1
Pno01G000636.t1	Pno03G004605.t1
Pno01G000644.t1	Pno03G004597.t1
Pno01G000692.t1	Pno03G004582.t1
Pno01G000720.t1	Pno03G004570.t1
Pno01G000758.t2	Pno03G004564.t3
Pno01G000762.t1	Pno03G004560.t1
Pno01G001030.t1	Pno03G004438.t1
Pno01G001121.t2	Pno03G004425.t1
Pno01G001213.t1	Pno03G004382.t1
Pno01G001336.t1	Pno03G004358.t1
Pno01G001371.t1	Pno03G004348.t1
Pno01G001375.t1	Pno03G004343.t1
Pno01G001438.t1	Pno03G004309.t1
Pno01G001476.t1	Pno03G004277.t1
Pno01G001520.t1	Pno03G004249.t1
Pno01G005327.t1	Pno04G006770.t1
Pno01G005331.t1	Pno04G007208.t1
Pno01G005341.t1	Pno04G007536.t2
Pno01G005346.t1	Pno04G009472.t1
Pno01G005368.t1	Pno04G013396.t1
Pno01G005376.t1	Pno04G013540.t1
Pno01G005379.t1	Pno04G015244.t1
Pno01G004256.t1	Pno04G004786.t1
Pno01G004263.t1	Pno04G004784.t1
Pno01G004281.t1	Pno04G004774.t1
Pno01G004321.t1	Pno04G004763.t1
Pno01G004334.t1	Pno04G004762.t1
Pno01G004369.t2	Pno04G004755.t1
Pno01G004387.t1	Pno04G004729.t1
Pno01G004397.t1	Pno04G004720.t1
Pno01G004443.t1	Pno04G004711.t1
Pno01G004466.t1	Pno04G004685.t1
Pno01G004470.t2	Pno04G004681.t1
Pno01G004488.t1	Pno04G004678.t1
Pno01G015255.t2	Pno04G003955.t1
Pno01G015373.t1	Pno04G003946.t1
Pno01G015486.t1	Pno04G003939.t1
Pno01G015529.t1	Pno04G003935.t1
Pno01G015759.t1	Pno04G003898.t1
Pno01G015815.t1	Pno04G003891.t1
Pno01G015943.t1	Pno04G003890.t1
Pno01G008400.t1	Pno04G003930.t1
Pno01G008467.t1	Pno04G003355.t1
Pno01G008498.t1	Pno04G002438.t1
Pno01G008509.t1	Pno04G002247.t1
Pno01G008570.t1	Pno04G001542.t3
Pno01G008605.t1	Pno04G001189.t1
Pno01G008639.t3	Pno04G000607.t2
Pno01G004030.t1	Pno04G004840.t2
Pno01G004073.t1	Pno04G004833.t1
Pno01G004094.t1	Pno04G004824.t1
Pno01G004110.t1	Pno04G004818.t1
Pno01G004111.t1	Pno04G004817.t1
Pno01G004123.t1	Pno04G004810.t1
Pno01G011143.t1	Pno05G010384.t1
Pno01G011295.t1	Pno05G010504.t1
Pno01G011455.t1	Pno05G011372.t1
Pno01G011464.t1	Pno05G011398.t1
Pno01G011488.t1	Pno05G011403.t1
Pno01G011503.t1	Pno05G011459.t1
Pno01G011610.t1	Pno05G011514.t1
Pno01G011691.t1	Pno05G011576.t3
Pno01G011764.t1	Pno05G011670.t1
Pno01G011792.t1	Pno05G011678.t1
Pno01G012043.t2	Pno05G011932.t1
Pno01G012051.t2	Pno05G011959.t1
Pno01G012066.t1	Pno05G011971.t1
Pno01G012089.t1	Pno05G011976.t1
Pno01G012175.t1	Pno05G012003.t1
Pno01G012276.t1	Pno05G012086.t1
Pno01G012340.t1	Pno05G012191.t1
Pno01G012392.t1	Pno05G012208.t1
Pno01G012513.t1	Pno05G012712.t1
Pno01G012524.t1	Pno05G013026.t1
Pno01G012590.t3	Pno05G013063.t1
Pno01G012693.t2	Pno05G013085.t1
Pno01G012778.t1	Pno05G013091.t1
Pno01G012793.t1	Pno05G013107.t1
Pno01G013011.t4	Pno05G013221.t1
Pno01G013059.t1	Pno05G013335.t1
Pno01G013134.t1	Pno05G013362.t1
Pno01G013137.t2	Pno05G013461.t1
Pno01G013225.t1	Pno05G013478.t1
Pno01G013261.t2	Pno05G013645.t1
Pno01G013395.t1	Pno05G013811.t1
Pno01G013422.t1	Pno05G013835.t1
Pno01G013444.t1	Pno05G014386.t1
Pno01G013469.t1	Pno05G014968.t1
Pno01G013570.t1	Pno05G015454.t1
Pno01G013700.t1	Pno05G015572.t1
Pno01G013710.t1	Pno05G015705.t1
Pno01G013754.t1	Pno05G015813.t1
Pno01G013860.t2	Pno05G015862.t1
Pno01G013875.t1	Pno05G015937.t1
Pno01G014066.t1	Pno05G016043.t1
Pno01G014098.t1	Pno05G016063.t1
Pno01G014123.t2	Pno05G016086.t1
Pno01G014208.t1	Pno05G016210.t1
Pno01G014438.t1	Pno05G016305.t1
Pno01G014481.t1	Pno05G016801.t1
Pno01G014515.t1	Pno05G016814.t1
Pno01G014519.t1	Pno05G016823.t1
Pno01G014592.t1	Pno05G016862.t1
Pno01G014665.t1	Pno05G016983.t1
Pno01G014713.t1	Pno05G016995.t1
Pno01G014931.t1	Pno05G017105.t1
Pno01G015139.t1	Pno05G017546.t1
Pno01G015152.t1	Pno05G017556.t1
Pno01G015172.t1	Pno05G017570.t1
Pno01G015289.t1	Pno05G017803.t1
Pno01G015373.t1	Pno05G017894.t2
Pno01G015416.t2	Pno05G017914.t1
Pno01G015428.t1	Pno05G017935.t2
Pno01G015438.t1	Pno05G017954.t1
Pno01G015468.t1	Pno05G018010.t1
Pno01G015506.t1	Pno05G018080.t1
Pno01G015690.t1	Pno05G018275.t1
Pno01G015693.t3	Pno05G018327.t1
Pno01G015759.t1	Pno05G018334.t2
Pno01G015767.t5	Pno05G018353.t1
Pno01G015815.t1	Pno05G018396.t1
Pno01G015838.t1	Pno05G018409.t1
Pno01G015943.t1	Pno05G018532.t1
Pno01G015963.t1	Pno05G000007.t1
Pno01G016004.t3	Pno05G000015.t3
Pno01G016085.t1	Pno05G000085.t1
Pno01G016106.t1	Pno05G000097.t1
Pno01G016191.t1	Pno05G000120.t1
Pno01G016254.t3	Pno05G000136.t1
Pno01G016266.t1	Pno05G000137.t1
Pno01G016270.t1	Pno05G000149.t2
Pno01G016320.t1	Pno05G000164.t1
Pno01G016425.t1	Pno05G000225.t1
Pno01G016432.t5	Pno05G000250.t2
Pno01G016452.t1	Pno05G000253.t1
Pno01G016574.t1	Pno05G000270.t1
Pno01G016583.t1	Pno05G000276.t1
Pno01G016605.t1	Pno05G000315.t1
Pno01G016614.t1	Pno05G000318.t1
Pno01G016728.t1	Pno05G000331.t1
Pno01G016750.t1	Pno05G000332.t2
Pno01G016768.t1	Pno05G000333.t1
Pno01G016882.t1	Pno05G000401.t1
Pno01G016917.t1	Pno05G000449.t1
Pno01G000024.t2	Pno05G000460.t1
Pno01G000028.t1	Pno05G000530.t1
Pno01G000043.t1	Pno05G000537.t1
Pno01G000049.t2	Pno05G000553.t1
Pno01G000052.t2	Pno05G000555.t1
Pno01G000073.t1	Pno05G000581.t1
Pno01G000074.t2	Pno05G000701.t1
Pno01G009017.t1	Pno05G000738.t1
Pno01G009163.t1	Pno05G000873.t1
Pno01G009175.t1	Pno05G000919.t1
Pno01G009176.t1	Pno05G000923.t1
Pno01G009177.t1	Pno05G000926.t1
Pno01G009183.t1	Pno05G000953.t1
Pno01G009195.t2	Pno05G000966.t3
Pno01G009201.t2	Pno05G001000.t1
Pno01G009202.t1	Pno05G001002.t1
Pno01G009223.t2	Pno05G001071.t1
Pno01G009238.t1	Pno05G001149.t1
Pno01G009265.t1	Pno05G001154.t1
Pno01G009273.t1	Pno05G001166.t2
Pno01G009293.t1	Pno05G001206.t1
Pno01G009298.t2	Pno05G001223.t1
Pno01G009301.t1	Pno05G001232.t1
Pno01G009308.t1	Pno05G001244.t1
Pno01G009364.t1	Pno05G001258.t2
Pno01G009419.t1	Pno05G001262.t1
Pno01G009433.t1	Pno05G001272.t1
Pno01G009458.t1	Pno05G001275.t1
Pno01G009473.t1	Pno05G001349.t1
Pno01G009496.t1	Pno05G001356.t1
Pno01G009516.t1	Pno05G001386.t1
Pno01G009540.t1	Pno05G001388.t3
Pno01G009572.t1	Pno05G001426.t1
Pno01G009666.t1	Pno05G001433.t1
Pno01G009701.t1	Pno05G001618.t2
Pno01G009728.t1	Pno05G001666.t1
Pno01G009770.t1	Pno05G001676.t1
Pno01G009786.t1	Pno05G001684.t1
Pno01G009869.t2	Pno05G001744.t1
Pno01G009870.t1	Pno05G001745.t1
Pno01G009883.t1	Pno05G001773.t1
Pno01G009913.t2	Pno05G001798.t3
Pno01G009914.t1	Pno05G001799.t1
Pno01G009981.t1	Pno05G001839.t1
Pno01G010026.t1	Pno05G001968.t1
Pno01G010074.t1	Pno05G002040.t1
Pno01G010101.t1	Pno05G002364.t1
Pno01G010124.t1	Pno05G002451.t2
Pno01G010145.t1	Pno05G002462.t1
Pno01G010322.t1	Pno05G002533.t1
Pno01G010394.t1	Pno05G002584.t1
Pno01G010395.t1	Pno05G002643.t2
Pno01G010582.t1	Pno05G002880.t1
Pno01G010668.t1	Pno05G002889.t3
Pno01G010681.t1	Pno05G002967.t1
Pno01G010708.t1	Pno05G003033.t1
Pno01G010709.t1	Pno05G003057.t1
Pno01G010726.t1	Pno05G003104.t1
Pno01G010739.t1	Pno05G003107.t1
Pno01G010797.t1	Pno05G003152.t1
Pno01G010811.t2	Pno05G003298.t1
Pno01G010851.t1	Pno05G003545.t1
Pno01G010879.t1	Pno05G003558.t2
Pno01G011063.t1	Pno05G003586.t1
Pno01G011180.t1	Pno05G003626.t1
Pno01G008327.t1	Pno05G009823.t1
Pno01G008337.t1	Pno05G009911.t1
Pno01G008338.t1	Pno05G009913.t1
Pno01G008341.t1	Pno05G009922.t1
Pno01G008347.t2	Pno05G010030.t1
Pno01G008378.t1	Pno05G010185.t1
Pno01G008380.t1	Pno05G010214.t1
Pno01G008399.t1	Pno05G010232.t1
Pno01G008400.t1	Pno05G010257.t1
Pno01G005544.t1	Pno05G007812.t1
Pno01G005622.t1	Pno05G007902.t1
Pno01G005632.t1	Pno05G007918.t1
Pno01G005717.t1	Pno05G008157.t2
Pno01G005828.t1	Pno05G008212.t1
Pno01G005829.t1	Pno05G008284.t1
Pno01G005914.t1	Pno05G008445.t1
Pno01G006083.t4	Pno05G008669.t1
Pno01G006165.t1	Pno05G008842.t1
Pno01G005840.t2	Pno05G004211.t1
Pno01G005847.t1	Pno05G004207.t1
Pno01G005849.t1	Pno05G004203.t2
Pno01G005855.t1	Pno05G004198.t1
Pno01G005856.t1	Pno05G004197.t1
Pno01G005862.t1	Pno05G004193.t2
Pno01G005868.t4	Pno05G004186.t1
Pno01G005869.t1	Pno05G004184.t2
Pno01G005882.t1	Pno05G004175.t1
Pno01G005888.t1	Pno05G004174.t1
Pno01G005898.t1	Pno05G004170.t1
Pno01G005906.t2	Pno05G004161.t1
Pno01G005935.t1	Pno05G004130.t1
Pno01G005944.t1	Pno05G004120.t3
Pno01G005975.t2	Pno05G004081.t1
Pno01G005976.t1	Pno05G004076.t1
Pno01G006000.t3	Pno05G004055.t1
Pno01G006003.t1	Pno05G004049.t1
Pno01G006113.t1	Pno05G004025.t1
Pno01G006128.t1	Pno05G004013.t1
Pno01G006129.t1	Pno05G004011.t1
Pno01G006137.t1	Pno05G004004.t3
Pno01G006141.t3	Pno05G003998.t2
Pno01G006149.t1	Pno05G003994.t2
Pno01G006154.t1	Pno05G003993.t1
Pno01G006175.t1	Pno05G003983.t1
Pno01G006178.t1	Pno05G003977.t1
Pno01G006197.t1	Pno05G003953.t1
Pno01G006232.t1	Pno05G003939.t1
Pno01G006262.t1	Pno05G003930.t1
Pno01G006267.t1	Pno05G003923.t1
Pno01G006281.t1	Pno05G003910.t1
Pno01G006531.t1	Pno05G003786.t1
Pno01G006589.t1	Pno05G003754.t1
Pno01G006595.t1	Pno05G003752.t1
Pno01G006646.t1	Pno05G003726.t1
Pno01G006700.t6	Pno05G003713.t1
Pno01G006711.t1	Pno05G003694.t1
Pno01G006744.t1	Pno05G003686.t1
Pno01G006751.t1	Pno05G003685.t2
Pno01G006767.t1	Pno05G003683.t1
Pno01G006787.t1	Pno05G003676.t1
Pno01G006807.t1	Pno05G003675.t2
Pno01G006831.t1	Pno05G003655.t1
Pno01G006839.t1	Pno05G003640.t1
Pno01G014734.t1	Pno05G017455.t1
Pno01G014770.t1	Pno05G017421.t1
Pno01G014818.t1	Pno05G017372.t1
Pno01G014834.t1	Pno05G017259.t1
Pno01G014843.t1	Pno05G017217.t1
Pno01G014984.t1	Pno05G017088.t1
Pno01G014987.t4	Pno05G017017.t1
Pno01G015000.t2	Pno05G017014.t1
Pno01G005522.t1	Pno05G003525.t2
Pno01G005571.t1	Pno05G003466.t3
Pno01G005584.t1	Pno05G003461.t1
Pno01G005664.t1	Pno05G003454.t1
Pno01G005665.t1	Pno05G003451.t1
Pno01G005703.t2	Pno05G003444.t3
Pno01G005722.t1	Pno05G003439.t1
Pno01G005730.t1	Pno05G003437.t1
Pno01G005739.t1	Pno05G003433.t1
Pno01G005117.t1	Pno05G002567.t1
Pno01G005118.t1	Pno05G002563.t1
Pno01G005119.t1	Pno05G002559.t1
Pno01G005148.t1	Pno05G002529.t1
Pno01G005151.t1	Pno05G002523.t1
Pno01G005159.t1	Pno05G002496.t1
Pno01G005161.t1	Pno05G002494.t1
Pno01G005846.t1	Pno06G005490.t1
Pno01G005849.t1	Pno06G005557.t1
Pno01G005862.t1	Pno06G005621.t1
Pno01G005868.t4	Pno06G005655.t1
Pno01G005875.t3	Pno06G005704.t1
Pno01G005877.t1	Pno06G005727.t1
Pno01G005882.t1	Pno06G005740.t1
Pno01G005906.t2	Pno06G005774.t1
Pno01G005907.t1	Pno06G005779.t1
Pno01G006929.t1	Pno06G001693.t1
Pno01G006960.t2	Pno06G002280.t7
Pno01G006962.t1	Pno06G002378.t1
Pno01G007002.t6	Pno06G002712.t1
Pno01G007014.t2	Pno06G002973.t1
Pno01G007030.t1	Pno06G003732.t2
Pno01G007052.t1	Pno06G004142.t1
Pno01G006113.t1	Pno06G002767.t1
Pno01G006128.t1	Pno06G002746.t1
Pno01G006137.t1	Pno06G002611.t2
Pno01G006141.t3	Pno06G002488.t1
Pno01G006154.t1	Pno06G002428.t1
Pno01G006190.t1	Pno06G002324.t1
Pno01G006191.t1	Pno06G002262.t1
Pno01G006197.t1	Pno06G002171.t1
Pno01G006206.t1	Pno06G002090.t1
Pno01G006232.t1	Pno06G002017.t1
Pno01G006233.t1	Pno06G001997.t1
Pno01G006240.t1	Pno06G001996.t1
Pno01G006267.t1	Pno06G001867.t1
Pno01G006281.t1	Pno06G001829.t1
Pno01G005856.t1	Pno06G004199.t1
Pno01G005868.t4	Pno06G004176.t1
Pno01G005870.t1	Pno06G004175.t1
Pno01G005890.t1	Pno06G003894.t2
Pno01G005906.t2	Pno06G003881.t3
Pno01G005928.t1	Pno06G003673.t1
Pno01G005944.t1	Pno06G003412.t1
Pno01G005975.t2	Pno06G003275.t1
Pno01G005976.t1	Pno06G003235.t1
Pno01G006000.t3	Pno06G003195.t8
Pno01G006646.t1	Pno06G001247.t1
Pno01G006711.t1	Pno06G015728.t1
Pno01G006742.t1	Pno06G014564.t1
Pno01G006751.t1	Pno06G014229.t1
Pno01G006787.t1	Pno06G013284.t1
Pno01G006816.t1	Pno06G011176.t2
Pno01G006839.t1	Pno06G009964.t1
Pno01G006879.t1	Pno06G009576.t1
Pno01G010107.t1	Pno07G003660.t1
Pno01G010116.t1	Pno07G003662.t1
Pno01G010324.t3	Pno07G003672.t1
Pno01G010645.t1	Pno07G003692.t2
Pno01G010773.t1	Pno07G003695.t1
Pno01G011143.t1	Pno07G003702.t1
Pno01G011455.t1	Pno07G003712.t1
Pno01G011503.t1	Pno07G003728.t1
Pno01G011610.t1	Pno07G003732.t1
Pno01G012276.t1	Pno07G003738.t1
Pno01G012513.t1	Pno07G003751.t1
Pno01G012666.t1	Pno07G003759.t1
Pno01G012676.t1	Pno07G003760.t1
Pno01G004267.t1	Pno07G003521.t1
Pno01G004288.t1	Pno07G003527.t1
Pno01G004302.t1	Pno07G003532.t1
Pno01G004312.t1	Pno07G003536.t1
Pno01G004317.t1	Pno07G003537.t1
Pno01G004334.t1	Pno07G003540.t1
Pno01G004340.t1	Pno07G003541.t1
Pno01G004342.t1	Pno07G003542.t1
Pno01G004372.t1	Pno07G003545.t1
Pno01G004423.t1	Pno07G003574.t1
Pno01G004443.t1	Pno07G003588.t1
Pno01G004475.t3	Pno07G003607.t1
Pno01G001907.t1	Pno07G010740.t2
Pno01G002027.t1	Pno07G011421.t1
Pno01G002110.t1	Pno07G011442.t1
Pno01G002196.t1	Pno07G011750.t1
Pno01G002301.t1	Pno07G012136.t1
Pno01G002303.t1	Pno07G012154.t1
Pno01G002341.t1	Pno07G012290.t1
Pno01G002343.t1	Pno07G012292.t1
