Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Pfam	PF13855	Leucine rich repeat	117	174	7.0E-12	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Pfam	PF13855	Leucine rich repeat	429	488	2.3E-7	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	PANTHER	PTHR27000:SF492	3, PUTATIVE-RELATED	24	740	1.8E-298	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SUPERFAMILY	SSF52047	RNI-like	238	657	1.18E-55	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	160	233	3.3E-15	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	51	159	1.3E-25	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SUPERFAMILY	SSF52058	L domain-like	51	323	3.06E-49	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Coils	Coil	Coil	747	747	-	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	235	687	3.8E-107	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	PANTHER	PTHR27000	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED	24	740	1.8E-298	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	567	591	18.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	427	451	110.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	114	137	51.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	162	185	250.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	211	247	310.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	280	305	71.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	138	161	330.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	355	379	28.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	SMART	SM00369	LRR_typ_2	639	671	170.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno04G007874	08524e1ae034695b2811e40e0cdd2f43	251	PANTHER	PTHR47988	SOMATIC EMBRYOGENESIS RECEPTOR KINASE 1	16	75	1.6E-22	T	24-04-2022	-	-
Pno04G007874	08524e1ae034695b2811e40e0cdd2f43	251	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	29	105	8.1E-8	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno04G007874	08524e1ae034695b2811e40e0cdd2f43	251	PANTHER	PTHR47988:SF14	SOMATIC EMBRYOGENESIS RECEPTOR KINASE 2-LIKE	16	75	1.6E-22	T	24-04-2022	-	-
Pno04G007874	08524e1ae034695b2811e40e0cdd2f43	251	Pfam	PF08263	Leucine rich repeat N-terminal domain	31	67	8.1E-8	T	24-04-2022	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Pno04G007874	08524e1ae034695b2811e40e0cdd2f43	251	MobiDBLite	mobidb-lite	consensus disorder prediction	174	197	-	T	24-04-2022	-	-
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	Gene3D	G3DSA:3.10.20.90	-	13	92	4.4E-19	T	24-04-2022	-	-
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	98	362	4.3E-48	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	231	252	7.034293	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	CDD	cd17039	Ubl_ubiquitin_like	21	87	3.22941E-14	T	24-04-2022	-	-
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	Pfam	PF13855	Leucine rich repeat	277	335	1.6E-6	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	Pfam	PF13855	Leucine rich repeat	139	193	7.8E-7	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00213	ubq_7	19	89	1.2E-11	T	24-04-2022	IPR000626	Ubiquitin-like domain
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	PANTHER	PTHR45752:SF70	PLANT INTRACELLULAR RAS-GROUP-RELATED LRR PROTEIN 8	85	361	5.8E-49	T	24-04-2022	-	-
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	159	180	7.080498	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	ProSiteProfiles	PS50053	Ubiquitin domain profile.	19	90	14.05523	T	24-04-2022	IPR000626	Ubiquitin-like domain
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SUPERFAMILY	SSF54236	Ubiquitin-like	12	89	1.2E-18	T	24-04-2022	IPR029071	Ubiquitin-like domain superfamily
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SUPERFAMILY	SSF52058	L domain-like	133	337	2.28E-40	T	24-04-2022	-	-
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	206	228	5.3	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	276	297	410.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	298	321	0.05	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	229	251	27.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	252	275	0.53	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	SMART	SM00369	LRR_typ_2	161	180	330.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	Pfam	PF00240	Ubiquitin family	21	90	3.6E-13	T	24-04-2022	IPR000626	Ubiquitin-like domain
Pno06G004264	19ddf68a1ae896e4466472b73c8d8941	379	PANTHER	PTHR45752	LEUCINE-RICH REPEAT-CONTAINING	85	361	5.8E-49	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PANTHER	PTHR23155:SF1085	DISEASE RESISTANCE RPP8-LIKE PROTEIN 3-RELATED	25	707	7.5E-130	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	405	716	5.0E-28	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PANTHER	PTHR23155	DISEASE RESISTANCE PROTEIN RP	25	707	7.5E-130	T	24-04-2022	IPR044974	Disease resistance protein, plants
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	Gene3D	G3DSA:1.10.8.430	-	191	284	2.2E-11	T	24-04-2022	IPR042197	Apoptotic protease-activating factors, helical domain
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	CDD	cd00009	AAA	60	179	0.00275177	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	Pfam	PF00931	NB-ARC domain	39	268	1.4E-50	T	24-04-2022	IPR002182	NB-ARC
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	Gene3D	G3DSA:1.10.10.10	-	286	371	9.0E-11	T	24-04-2022	IPR036388	Winged helix-like DNA-binding domain superfamily
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PRINTS	PR00364	Disease resistance protein signature	233	247	1.4E-15	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PRINTS	PR00364	Disease resistance protein signature	57	72	1.4E-15	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PRINTS	PR00364	Disease resistance protein signature	560	576	1.4E-15	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	PRINTS	PR00364	Disease resistance protein signature	132	146	1.4E-15	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	Gene3D	G3DSA:3.40.50.300	-	21	182	1.1E-30	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	SUPERFAMILY	SSF52058	L domain-like	360	699	1.24E-22	T	24-04-2022	-	-
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	33	294	2.77E-57	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno04G004229	6883fabcfeaf897829484cca391c7e4d	752	MobiDBLite	mobidb-lite	consensus disorder prediction	9	24	-	T	24-04-2022	-	-
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	SUPERFAMILY	SSF52200	Toll/Interleukin receptor TIR domain	181	278	8.37E-5	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	449	661	4.28E-17	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	PANTHER	PTHR32472:SF12	P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN	14	988	0.0	T	24-04-2022	-	-
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	SMART	SM00382	AAA_5	452	608	3.9E-5	T	24-04-2022	IPR003593	AAA+ ATPase domain
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	Gene3D	G3DSA:3.40.50.300	-	421	589	3.7E-16	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	PANTHER	PTHR32472	DNA REPAIR PROTEIN RADA	14	988	0.0	T	24-04-2022	-	-
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	Pfam	PF00931	NB-ARC domain	449	588	1.4E-6	T	24-04-2022	IPR002182	NB-ARC
Pno05G004343	7f467326f12a1191ce3bacc6ce59e349	988	Gene3D	G3DSA:3.40.50.10140	-	163	301	2.7E-6	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	194	277	2.1E-20	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005:SF35	LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE ERL1	27	110	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SUPERFAMILY	SSF52058	L domain-like	39	331	6.46E-55	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005	LEUCINE RICH REPEAT KINASE 2	110	157	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	280	333	5.6E-12	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005:SF35	LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE ERL1	161	333	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005:SF35	LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE ERL1	110	157	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005	LEUCINE RICH REPEAT KINASE 2	27	110	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	PANTHER	PTHR48005	LEUCINE RICH REPEAT KINASE 2	161	333	2.6E-136	T	24-04-2022	-	-
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SMART	SM00369	LRR_typ_2	155	179	160.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SMART	SM00369	LRR_typ_2	299	322	210.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SMART	SM00369	LRR_typ_2	203	227	50.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SMART	SM00369	LRR_typ_2	83	107	23.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	SMART	SM00369	LRR_typ_2	251	275	180.0	T	24-04-2022	IPR003591	Leucine-rich repeat, typical subtype
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	Pfam	PF13516	Leucine Rich repeat	84	99	0.74	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	Pfam	PF13516	Leucine Rich repeat	301	314	1.1	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno06G000642	c03b123e513e5a0a46863b9ea77d63e5	394	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	22	193	2.5E-47	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	130	397	2.98E-59	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Gene3D	G3DSA:3.40.50.300	-	133	300	4.1E-29	T	24-04-2022	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	483	695	6.0E-25	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	SUPERFAMILY	SSF52200	Toll/Interleukin receptor TIR domain	3	110	6.54E-23	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PANTHER	PTHR11017	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	41	747	4.4E-178	T	24-04-2022	IPR044974	Disease resistance protein, plants
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Gene3D	G3DSA:3.40.50.10140	-	42	132	2.0E-32	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Pfam	PF00931	NB-ARC domain	150	374	4.1E-28	T	24-04-2022	IPR002182	NB-ARC
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Gene3D	G3DSA:3.40.50.10140	-	3	41	1.5E-9	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	ProSiteProfiles	PS50104	TIR domain profile.	1	133	14.255684	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Pfam	PF01582	TIR domain	41	139	5.5E-21	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	SMART	SM00255	till_3	10	108	3.3E-12	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PRINTS	PR00364	Disease resistance protein signature	167	182	3.3E-20	T	24-04-2022	-	-
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PRINTS	PR00364	Disease resistance protein signature	339	353	3.3E-20	T	24-04-2022	-	-
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PRINTS	PR00364	Disease resistance protein signature	244	258	3.3E-20	T	24-04-2022	-	-
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PRINTS	PR00364	Disease resistance protein signature	663	679	3.3E-20	T	24-04-2022	-	-
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	Gene3D	G3DSA:1.10.8.430	-	305	388	1.1E-18	T	24-04-2022	IPR042197	Apoptotic protease-activating factors, helical domain
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	PANTHER	PTHR11017:SF381	TMV RESISTANCE PROTEIN N-LIKE	41	747	4.4E-178	T	24-04-2022	-	-
Pno12G004173	45b96346a98d67fee681c9407862bf74	964	SUPERFAMILY	SSF52058	L domain-like	458	786	9.07E-26	T	24-04-2022	-	-
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	533	695	1.9E-15	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Pfam	PF01582	TIR domain	22	193	1.1E-39	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Gene3D	G3DSA:3.40.50.10140	-	20	190	2.4E-63	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	PANTHER	PTHR11017	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	28	709	4.8E-204	T	24-04-2022	IPR044974	Disease resistance protein, plants
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	885	1025	3.2E-15	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	SUPERFAMILY	SSF52058	L domain-like	497	869	3.29E-44	T	24-04-2022	-	-
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Pfam	PF00931	NB-ARC domain	203	440	3.8E-30	T	24-04-2022	IPR002182	NB-ARC
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	696	884	7.5E-38	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	ProSiteProfiles	PS50104	TIR domain profile.	20	187	34.476971	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	SUPERFAMILY	SSF52200	Toll/Interleukin receptor TIR domain	15	162	4.97E-37	T	24-04-2022	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	SMART	SM00255	till_3	21	159	5.6E-37	T	24-04-2022	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	PRINTS	PR00364	Disease resistance protein signature	987	1003	2.5E-24	T	24-04-2022	-	-
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	PRINTS	PR00364	Disease resistance protein signature	392	406	2.5E-24	T	24-04-2022	-	-
Pno08G004688	b0696ac918fce3d50980a5360ac20c41	1158	PRINTS	PR00364	Disease resistance protein signature	298	312	2.5E-24	T	24-04-2022	-	-
