chr	start	end	name	strand	cluster_id	category
Chr3	184193763	184200098	Pno03G004082	+	C16	Chr3
Chr3	184414719	184418657	Pno03G004095	-	C16	Chr3
Chr4	10017630	10020862	Pno04G000005	+	C21	Chr4
Chr4	10115793	10128368	Pno04G000039	+	C21	Chr4
Chr4	6044724	6047875	Pno04G011669	+	C20	Chr4
Chr4	6079697	6085041	Pno04G011744	+	C20	Chr4
Chr4	6099712	6102175	Pno04G011768	-	C20	Chr4
Chr4	6138710	6139902	Pno04G011836	+	C20	Chr4
Chr4	6140074	6150363	Pno04G011839	+	C20	Chr4
Chr4	72865917	72866878	Pno04G013755	-	C17	Chr4
Chr4	73153089	73154266	Pno04G013820	-	C17	Chr4
Chr4	9942975	9950758	Pno04G017996	+	C21	Chr4
Chr4	9974978	9978381	Pno04G018040	+	C21	Chr4
Chr5	169310204	169312221	Pno05G003078	-	C22	Chr5
Chr5	178220446	178225333	Pno05G003617	-	C24	Chr5
Chr5	178229909	178234488	Pno05G003618	-	C24	Chr5
Chr7	24944838	24946891	Pno07G004929	-	C32	Chr7
Chr7	31473036	31475175	Pno07G006020	+	C34	Chr7
Chr7	7588097	7588795	Pno07G013559	-	C33	Chr7
Chr8	24242145	24244969	Pno08G003474	-	C36	Chr8
Chr8	32213888	32216337	Pno08G004412	-	C38	Chr8
Chr8	34101158	34102923	Pno08G004656	+	C39	Chr8
Chr8	34134869	34139448	Pno08G004662	+	C39	Chr8
Chr8	36955054	36958805	Pno08G005028	+	C40	Chr8
Chr10	22162299	22163599	Pno10G002243	-	C7	Chr10
Chr10	26075001	26076049	Pno10G002703	-	C8	Chr10
Chr11	115353791	115356192	Pno11G000679	-	C11	Chr11
Chr11	123529430	123532416	Pno11G001063	+	C9	Chr11
Chr12	9885544	9897966	Pno12G014604	+	C13	Chr12
Chr5	183009822	183012235	Pno05G003917	+	C25	Chr5
Chr5	183057078	183059318	Pno05G003920	-	C25	Chr5
Chr5	183061486	183064203	Pno05G003921	+	C25	Chr5
Chr7	165473738	165480332	Pno07G002932	+	C31	Chr7
Chr12	9862201	9874075	Pno12G014569	-	C13	Chr12
Chr3	183920811	183927037	Pno03G004066	+	C16	Chr3
Chr3	183966270	183971639	Pno03G004070	+	C16	Chr3
Chr3	184657893	184663483	Pno03G004105	-	C16	Chr3
Chr4	15383017	15384731	Pno04G002409	+	C18	Chr4
Chr4	15436093	15437900	Pno04G002433	+	C18	Chr4
Chr7	165160523	165167634	Pno07G002914	+	C31	Chr7
Chr7	165392386	165396813	Pno07G002928	+	C31	Chr7
Chr7	165447553	165452025	Pno07G002929	+	C31	Chr7
Chr7	165480442	165484772	Pno07G002933	+	C31	Chr7
Chr7	165816496	165820910	Pno07G002949	+	C31	Chr7
Chr7	165829765	165835674	Pno07G002952	+	C31	Chr7
Chr7	165870035	165874395	Pno07G002953	+	C31	Chr7
Chr7	165943376	165948005	Pno07G002959	+	C31	Chr7
Chr7	7589226	7594850	Pno07G013564	-	C33	Chr7
Chr7	7598808	7603574	Pno07G013576	-	C33	Chr7
Chr8	31230538	31234614	Pno08G004300	+	C37	Chr8
Chr8	31258995	31263444	Pno08G004303	-	C37	Chr8
Chr8	33542036	33549150	Pno08G004582	+	C39	Chr8
Chr8	33578067	33585916	Pno08G004588	+	C39	Chr8
Chr8	33990862	33997326	Pno08G004643	+	C39	Chr8
Chr8	34076715	34090605	Pno08G004654	+	C39	Chr8
Chr8	34237251	34250528	Pno08G004678	+	C39	Chr8
Chr8	34298360	34304311	Pno08G004688	+	C39	Chr8
Chr8	34347937	34351667	Pno08G004693	+	C39	Chr8
Chr8	36996758	37001304	Pno08G005037	+	C40	Chr8
Chr8	6140687	6146173	Pno08G008784	+	C35	Chr8
Chr11	115356255	115368973	Pno11G000680	-	C11	Chr11
